,year,month,tournament_link,tournament_name,tournament_dates,tournament_prize_money,tournament_super_level,city,country,men_singles_winner,men_singles_runner_up,men_singles_third_place_1,men_singles_third_place_2,women_singles_winner,women_singles_runner_up,women_singles_third_place_1,women_singles_third_place_2,men_doubles_winner_1,men_doubles_winner_2,men_doubles_runner_up_1,men_doubles_runner_up_2,men_doubles_third_place_1_1,men_doubles_third_place_1_2,men_doubles_third_place_2_1,men_doubles_third_place_2_2,women_doubles_winner_1,women_doubles_winner_2,women_doubles_runner_up_1,women_doubles_runner_up_2,women_doubles_third_place_1_1,women_doubles_third_place_1_2,women_doubles_third_place_2_1,women_doubles_third_place_2_2,mixed_doubles_winner_1,mixed_doubles_winner_2,mixed_doubles_runner_up_1,mixed_doubles_runner_up_2,mixed_doubles_third_place_1_1,mixed_doubles_third_place_1_2,mixed_doubles_third_place_2_1,mixed_doubles_third_place_2_2
0,2018,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3139/princess-sirivannavari-thailand-masters-2018,PRINCESS SIRIVANNAVARI Thailand Masters 2018,09 - 14 JANUARY,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Bangkok,Thailand,Tommy SUGIARTO,LEONG Jun Hao,LIEW Daren,Kantaphon WANGCHAROEN,Nitchaon JINDAPOL,Pornpawee CHOCHUWONG,Soniia CHEAH,KISONA Selvaduray,Tinn ISRIYANET,Kittisak NAMDASH,Wahyu Nayaka ARYA PANGKARYANIRA,Ade Yusuf SANTOSO,Berry ANGRIAWAN,Hardianto HARDIANTO,GOH V Shem,TAN Wee Kiong,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Anggia Shitta AWANDA,Ni Ketut Mahadewi ISTARANI,Savitree AMITRAPAI,Pacharapun CHOCHUWONG,CHOW Mei Kuan,LEE Meng Yean,CHAN Peng Soon,GOH Liu Ying,Dechapol PUAVARANUKROH,Puttita SUPAJIRAKUL,Nipitphon PHUANGPHUAPET,Jongkolphan KITITHARAKUL,CHEN Tang Jie,PECK Yen Wei
1,2018,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3143/perodua-malaysia-masters-2018,PERODUA Malaysia Masters 2018,16 - 21 JANUARY,"PRIZE MONEY USD $350,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Bukit Jalil,Malaysia,Viktor AXELSEN,Kenta NISHIMOTO,LIEW Daren,Hans-Kristian Solberg VITTINGHUS,Ratchanok INTANON,TAI Tzu Ying,Carolina MARIN,Akane YAMAGUCHI,Fajar ALFIAN,Muhammad Rian ARDIANTO,GOH V Shem,TAN Wee Kiong,CHEN Hung Ling,WANG Chi-Lin,Mads CONRAD-PETERSEN,Mads Pieler KOLDING,Kamilla Rytter JUHL,Christinna PEDERSEN,CHEN Qing Chen,JIA Yi Fan,Yuki FUKUSHIMA,Sayaka HIROTA,LEE So Hee,SHIN Seung Chan,TANG Chun Man,TSE Ying Suet,ZHENG Si Wei,HUANG Ya Qiong,GOH Soon Huat,LAI Shevon Jemie,Hafiz FAIZAL,Gloria Emanuelle WIDJAJA
2,2018,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3140/daihatsu-indonesia-masters-2018,DAIHATSU Indonesia Masters 2018,23 - 28 JANUARY,"PRIZE MONEY USD $350,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Jakarta,Indonesia,Anthony Sinisuka GINTING,Kazumasa SAKAI,CHOU Tien Chen,SON Wan Ho,TAI Tzu Ying,Saina NEHWAL,HE Bing Jiao,Ratchanok INTANON,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,LI Jun Hui,LIU Yu Chen,LIU Cheng,ZHANG Nan,Satwiksairaj RANKIREDDY,Chirag SHETTY,Misaki MATSUTOMO,Ayaka TAKAHASHI,Greysia POLII,Apriyani RAHAYU,LEE So Hee,SHIN Seung Chan,Kamilla Rytter JUHL,Christinna PEDERSEN,ZHENG Si Wei,HUANG Ya Qiong,Tontowi AHMAD,Liliyana NATSIR,Praveen JORDAN,Melati Daeva OKTAVIANTI,GOH Soon Huat,LAI Shevon Jemie
3,2018,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3170/yonex-sunrise-dr-akhilesh-das-gupta-india-open-2018,YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,30 JANUARY - 04 FEBRUARY,"PRIZE MONEY USD $350,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,New Delhi,India,SHI Yu Qi,CHOU Tien Chen,QIAO Bin,Iskandar ZULKARNAIN,Beiwen ZHANG,PUSARLA V. Sindhu,CHEUNG Ngan Yi,Ratchanok INTANON,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Kim ASTRUP,Anders Skaarup RASMUSSEN,HAN Cheng Kai,ZHOU Hao Dong,Mohammad AHSAN,Hendra SETIAWAN,Greysia POLII,Apriyani RAHAYU,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,DU Yue,LI Yin Hui,Kamilla Rytter JUHL,Christinna PEDERSEN,Mathias CHRISTIANSEN,Christinna PEDERSEN,Praveen JORDAN,Melati Daeva OKTAVIANTI,Pranaav Jerry CHOPRA,REDDY Sikki,HE Ji Ting,DU Yue
4,2018,"
FEBRUARY ",https://bwfworldtour.bwfbadminton.com/tournament/3144/yonex-swiss-open-2018,YONEX Swiss Open 2018,20 - 25 FEBRUARY,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Basel,Switzerland,Sameer VERMA,Jan O JORGENSEN,Lucas CORVEE,Kantaphon WANGCHAROEN,Sayaka TAKAHASHI,Natsuki NIDAIRA,Evgeniya KOSETSKAYA,Minatsu MITANI,Mathias BOE,Carsten MOGENSEN,Tinn ISRIYANET,Kittisak NAMDASH,Maneepong JONGJIT,Nanthakarn YORDPHAISONG,Marcus ELLIS,Chris LANGRIDGE,Ayako SAKURAMOTO,Yukiko TAKAHATA,Gabriela STOEVA,Stefani STOEVA,Emilie LEFEL,Anne TRAN,Nami MATSUYAMA,Chiharu SHIDA,Mark LAMSFUSS,Isabel LOHAU,Marcus ELLIS,Lauren SMITH,Ben LANE,Jessica PUGH,Jones Ralfy JANSEN,Carla NYENHUIS
5,2018,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/3146/yonex-german-open-2018,YONEX German Open 2018,06 - 11 MARCH,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Mülheim an der Ruhr,Germany,CHOU Tien Chen,NG Ka Long Angus,Kenta NISHIMOTO,SHI Yu Qi,Akane YAMAGUCHI,CHEN Yu Fei,Nitchaon JINDAPOL,Nozomi OKUHARA,Takuto INOUE,Yuki KANEKO,Fajar ALFIAN,Muhammad Rian ARDIANTO,Mohammad AHSAN,Hendra SETIAWAN,GOH V Shem,TAN Wee Kiong,Yuki FUKUSHIMA,Sayaka HIROTA,HUANG Dong Ping,ZHENG Yu,CHANG Ye Na,KIM Hyerin,Gabriela STOEVA,Stefani STOEVA,GOH Soon Huat,LAI Shevon Jemie,Niclas NOHR,Sara THYGESEN,HE Ji Ting,DU Yue,CHOI Sol Gyu,CHAE Yu Jung
6,2018,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/3141/yonex-all-england-open-2018,YONEX All England Open 2018,14 - 18 MARCH,"PRIZE MONEY USD $1,000,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Birmingham,England,SHI Yu Qi,LIN Dan,HUANG Yu Xiang,SON Wan Ho,TAI Tzu Ying,Akane YAMAGUCHI,CHEN Yu Fei,PUSARLA V. Sindhu,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Mathias BOE,Carsten MOGENSEN,Mads CONRAD-PETERSEN,Mads Pieler KOLDING,Hiroyuki ENDO,Yuta WATANABE,Kamilla Rytter JUHL,Christinna PEDERSEN,Yuki FUKUSHIMA,Sayaka HIROTA,Mayu MATSUMOTO,Wakana NAGAHARA,Shiho TANAKA,Koharu YONEMOTO,Yuta WATANABE,Arisa HIGASHINO,ZHENG Si Wei,HUANG Ya Qiong,ZHANG Nan,LI Yin Hui,Mathias CHRISTIANSEN,Christinna PEDERSEN
7,2018,"
MAY ",https://bwfworldtour.bwfbadminton.com/tournament/3147/barfoot-thompson-new-zealand-open-2018,BARFOOT & THOMPSON New Zealand Open 2018,01 - 06 MAY,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Auckland,New Zealand,LIN Dan,Jonatan CHRISTIE,HEO Kwang Hee,SAI PRANEETH B.,Sayaka TAKAHASHI,ZHANG Yi Man,HAN Yue,Minatsu MITANI,CHEN Hung Ling,WANG Chi-Lin,Berry ANGRIAWAN,Hardianto HARDIANTO,HE Ji Ting,TAN Qiang,Bodin ISARA,Nipitphon PHUANGPHUAPET,Ayako SAKURAMOTO,Yukiko TAKAHATA,CAO Tong Wei,ZHENG Yu,KIM Hyerin,KONG Hee Yong,Arisa HIGASHINO,Kie NAKANISHI,WANG Chi-Lin,LEE Chia Hsin,SEO Seung Jae,CHAE Yu Jung,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,HE Ji Ting,DU Yue
8,2018,"
MAY ",https://bwfworldtour.bwfbadminton.com/tournament/3148/crown-group-australian-open-2018,CROWN GROUP Australian Open 2018,08 - 13 MAY,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Sydney,Australia,LU Guang Zu,ZHOU Ze Qi,LEE Cheuk Yiu,ZHAO Jun Peng,CAI Yan Yan,Ayumi MINE,CHEUNG Ngan Yi,Minatsu MITANI,Berry ANGRIAWAN,Hardianto HARDIANTO,Wahyu Nayaka ARYA PANGKARYANIRA,Ade Yusuf SANTOSO,ATTRI Manu,REDDY B. Sumeeth,Keiichiro MATSUI,Yoshinori TAKEUCHI,Ayako SAKURAMOTO,Yukiko TAKAHATA,BAEK Ha Na,LEE Yu Lim,Misato ARATAMA,Akane WATANABE,CHAE Yu Jung,KIM Hye Jeong,SEO Seung Jae,CHAE Yu Jung,CHAN Peng Soon,GOH Liu Ying,WANG Ze Kang,LI Yin Hui,CHOI Sol Gyu,KIM Ha Na
9,2018,"
JUNE ",https://bwfworldtour.bwfbadminton.com/tournament/3216/2018-yonex-us-open,2018 YONEX US Open,12 - 17 JUNE,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Fullerton,USA,LEE Dong Keun,Mark CALJOUW,Ajay JAYARAM,Khosit PHETPRADAB,LI Xue Rui,Beiwen ZHANG,Michelle LI,Aya OHORI,OU Xuan Yi,REN Xiang Yu,KANG Min Hyuk,KIM Won Ho,Jason Anthony HO-SHUE,Nyl YAKURA,JUNG Jae Wook,KIM Jaehwan,TANG Jin Hua,YU Xiao Han,KIM Hye Jeong,KIM So Yeong,Naoko FUKUMAN,Kurumi YONAO,CHOW Mei Kuan,Vivian HOO,CHAN Peng Soon,GOH Liu Ying,Marvin SEIDEL,Linda EFLER,Ben LANE,Jessica PUGH,Mark LAMSFUSS,Isabel LOHAU
10,2018,"
JUNE ",https://bwfworldtour.bwfbadminton.com/tournament/3142/celcom-axiata-malaysia-open-2018,CELCOM AXIATA Malaysia Open 2018,26 JUNE - 01 JULY,"PRIZE MONEY USD $700,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,Bukit Jalil,Malaysia,LEE Chong Wei,Kento MOMOTA,KIDAMBI Srikanth,Tommy SUGIARTO,TAI Tzu Ying,HE Bing Jiao,Ratchanok INTANON,PUSARLA V. Sindhu,Takeshi KAMURA,Keigo SONODA,Hiroyuki ENDO,Yuta WATANABE,HE Ji Ting,TAN Qiang,LI Jun Hui,LIU Yu Chen,Misaki MATSUTOMO,Ayaka TAKAHASHI,CHEN Qing Chen,JIA Yi Fan,Della Destiara HARIS,Rizki Amelia PRADIPTA,KIM Hyerin,KONG Hee Yong,ZHENG Si Wei,HUANG Ya Qiong,WANG Yi Lyu,HUANG Dong Ping,Yuta WATANABE,Arisa HIGASHINO,Chris ADCOCK,Gabrielle ADCOCK
11,2018,"
JULY ",https://bwfworldtour.bwfbadminton.com/tournament/3149/blibli-indonesia-open-2018,BLIBLI Indonesia Open 2018,03 - 08 JULY,"PRIZE MONEY USD $1,250,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Jakarta,Indonesia,Kento MOMOTA,Viktor AXELSEN,LEE Chong Wei,SHI Yu Qi,TAI Tzu Ying,CHEN Yu Fei,HE Bing Jiao,SUNG Jihyun,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Takuto INOUE,Yuki KANEKO,Fajar ALFIAN,Muhammad Rian ARDIANTO,LIAO Min Chun,SU Ching Heng,Yuki FUKUSHIMA,Sayaka HIROTA,Mayu MATSUMOTO,Wakana NAGAHARA,CHEN Qing Chen,JIA Yi Fan,Misaki MATSUTOMO,Ayaka TAKAHASHI,Tontowi AHMAD,Liliyana NATSIR,CHAN Peng Soon,GOH Liu Ying,ZHENG Si Wei,HUANG Ya Qiong,Hafiz FAIZAL,Gloria Emanuelle WIDJAJA
12,2018,"
JULY ",https://bwfworldtour.bwfbadminton.com/tournament/3150/toyota-thailand-open-2018,TOYOTA Thailand Open 2018,10 - 15 JULY,"PRIZE MONEY USD $350,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Bangkok,Thailand,Kanta TSUNEYAMA,Tommy SUGIARTO,Suppanyu AVIHINGSANON,Sony Dwi KUNCORO,Nozomi OKUHARA,PUSARLA V. Sindhu,Gregoria Mariska TUNJUNG,Beiwen ZHANG,Takeshi KAMURA,Keigo SONODA,Hiroyuki ENDO,Yuta WATANABE,Takuto INOUE,Yuki KANEKO,Bodin ISARA,Maneepong JONGJIT,Greysia POLII,Apriyani RAHAYU,Misaki MATSUTOMO,Ayaka TAKAHASHI,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Shiho TANAKA,Koharu YONEMOTO,Hafiz FAIZAL,Gloria Emanuelle WIDJAJA,Chris ADCOCK,Gabrielle ADCOCK,WANG Chi-Lin,LEE Chia Hsin,LU Kai,CHEN Lu
13,2018,"
JULY ",https://bwfworldtour.bwfbadminton.com/tournament/3151/singapore-open-2018,Singapore Open 2018,17 - 22 JULY,"PRIZE MONEY USD $355,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Singapore,Singapore,CHOU Tien Chen,HSU Jen Hao,QIAO Bin,Tien Minh NGUYEN,Sayaka TAKAHASHI,GAO Fang Jie,HAN Yue,Nitchaon JINDAPOL,Mohammad AHSAN,Hendra SETIAWAN,OU Xuan Yi,REN Xiang Yu,HAN Cheng Kai,ZHOU Hao Dong,Angga PRATAMA,Rian Agung SAPUTRO,Ayako SAKURAMOTO,Yukiko TAKAHATA,Nami MATSUYAMA,Chiharu SHIDA,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Isabel LOHAU,Carla NYENHUIS,GOH Soon Huat,LAI Shevon Jemie,Tontowi AHMAD,Liliyana NATSIR,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,Akbar Bintang CAHYONO,Winny Oktavina KANDOW
14,2018,"
AUGUST ",https://bwfworldtour.bwfbadminton.com/tournament/3145/barcelona-spain-masters-2018,Barcelona Spain Masters 2018,28 AUGUST - 02 SEPTEMBER,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Barcelona,Spain,Rasmus GEMKE,Suppanyu AVIHINGSANON,Yu IGARASHI,Toby PENTY,Minatsu MITANI,Mia BLICHFELDT,Kirsty GILMOUR,Line Højmark KJAERSFELDT,KIM Gi Jung,LEE Yong Dae,Bodin ISARA,Maneepong JONGJIT,Akira KOGA,Taichi SAITO,CHEN Tang Jie,MAN Wei Chong,Mayu MATSUMOTO,Wakana NAGAHARA,Ayako SAKURAMOTO,Yukiko TAKAHATA,Misato ARATAMA,Akane WATANABE,Maiken FRUERGAARD,Sara THYGESEN,Niclas NOHR,Sara THYGESEN,Marcus ELLIS,Lauren SMITH,Kohei GONDO,Ayane KURIHARA,CHEN Tang Jie,PECK Yen Wei
15,2018,"
SEPTEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3152/daihatsu-yonex-japan-open-2018,DAIHATSU YONEX Japan Open 2018,11 - 16 SEPTEMBER,"PRIZE MONEY USD $700,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,Tokyo,Japan,Kento MOMOTA,Khosit PHETPRADAB,Viktor AXELSEN,LEE Dong Keun,Carolina MARIN,Nozomi OKUHARA,CHEN Yu Fei,Aya OHORI,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,LI Jun Hui,LIU Yu Chen,CHEN Hung Ling,WANG Chi-Lin,HE Ji Ting,TAN Qiang,Yuki FUKUSHIMA,Sayaka HIROTA,CHEN Qing Chen,JIA Yi Fan,DU Yue,LI Yin Hui,Greysia POLII,Apriyani RAHAYU,ZHENG Si Wei,HUANG Ya Qiong,WANG Yi Lyu,HUANG Dong Ping,Yuta WATANABE,Arisa HIGASHINO,CHAN Peng Soon,GOH Liu Ying
16,2018,"
SEPTEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3153/victor-china-open-2018,VICTOR China Open 2018,18 - 23 SEPTEMBER,"PRIZE MONEY USD $1,000,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Changzhou,China,Anthony Sinisuka GINTING,Kento MOMOTA,CHOU Tien Chen,SHI Yu Qi,Carolina MARIN,CHEN Yu Fei,Nozomi OKUHARA,Akane YAMAGUCHI,Kim ASTRUP,Anders Skaarup RASMUSSEN,HAN Cheng Kai,ZHOU Hao Dong,CHEN Hung Ling,WANG Chi-Lin,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Misaki MATSUTOMO,Ayaka TAKAHASHI,Mayu MATSUMOTO,Wakana NAGAHARA,Greysia POLII,Apriyani RAHAYU,Gabriela STOEVA,Stefani STOEVA,ZHENG Si Wei,HUANG Ya Qiong,ZHANG Nan,LI Yin Hui,WANG Yi Lyu,HUANG Dong Ping,TANG Chun Man,TSE Ying Suet
17,2018,"
SEPTEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3154/victor-korea-open-2018,VICTOR Korea Open 2018,25 - 30 SEPTEMBER,"PRIZE MONEY USD $600,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Seoul,Korea,CHOU Tien Chen,Tommy SUGIARTO,Jonatan CHRISTIE,Kenta NISHIMOTO,Nozomi OKUHARA,Beiwen ZHANG,SUNG Jihyun,Akane YAMAGUCHI,Hiroyuki ENDO,Yuta WATANABE,Takuro HOKI,Yugo KOBAYASHI,CHOI Sol Gyu,SEO Seung Jae,CHOOI Kah Ming,LOW Juan Shen,Misaki MATSUTOMO,Ayaka TAKAHASHI,Yuki FUKUSHIMA,Sayaka HIROTA,Naoko FUKUMAN,Kurumi YONAO,Shiho TANAKA,Koharu YONEMOTO,HE Ji Ting,DU Yue,Mathias CHRISTIANSEN,Christinna PEDERSEN,SEO Seung Jae,CHAE Yu Jung,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI
18,2018,"
OCTOBER ",https://bwfworldtour.bwfbadminton.com/tournament/3156/danisa-denmark-open-2018,DANISA Denmark Open 2018,16 - 21 OCTOBER,"PRIZE MONEY USD $775,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,Odense,Denmark,Kento MOMOTA,CHOU Tien Chen,Anders ANTONSEN,KIDAMBI Srikanth,TAI Tzu Ying,Saina NEHWAL,HE Bing Jiao,Gregoria Mariska TUNJUNG,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Takeshi KAMURA,Keigo SONODA,Mohammad AHSAN,Hendra SETIAWAN,Marcus ELLIS,Chris LANGRIDGE,Yuki FUKUSHIMA,Sayaka HIROTA,Shiho TANAKA,Koharu YONEMOTO,KIM Hye Jeong,KONG Hee Yong,Greysia POLII,Apriyani RAHAYU,ZHENG Si Wei,HUANG Ya Qiong,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,SEO Seung Jae,CHAE Yu Jung,Tontowi AHMAD,Liliyana NATSIR
19,2018,"
OCTOBER ",https://bwfworldtour.bwfbadminton.com/tournament/3157/yonex-french-open-2018,YONEX French Open 2018,23 - 28 OCTOBER,"PRIZE MONEY USD $750,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,Paris,France,CHEN Long,SHI Yu Qi,Rasmus GEMKE,Kento MOMOTA,Akane YAMAGUCHI,TAI Tzu Ying,CHEN Yu Fei,HE Bing Jiao,HAN Cheng Kai,ZHOU Hao Dong,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,LEE Jhe-Huei,LEE Yang,Satwiksairaj RANKIREDDY,Chirag SHETTY,Mayu MATSUMOTO,Wakana NAGAHARA,Gabriela STOEVA,Stefani STOEVA,LEE So Hee,SHIN Seung Chan,Greysia POLII,Apriyani RAHAYU,ZHENG Si Wei,HUANG Ya Qiong,SEO Seung Jae,CHAE Yu Jung,Yuta WATANABE,Arisa HIGASHINO,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI
20,2018,"
OCTOBER ",https://bwfworldtour.bwfbadminton.com/tournament/3158/macau-open-2018,Macau Open 2018,30 OCTOBER - 04 NOVEMBER,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Macau City,Macau China,LEE Hyun Il,ZHOU Ze Qi,LU Chia Hung,Sitthikom THAMMASIN,Michelle LI,HAN Yue,CHEUNG Ngan Yi,Ayumi MINE,KIM Gi Jung,LEE Yong Dae,KO Sung Hyun,SHIN Baek Cheol,CHANG Ko-Chi,LU Chia Pin,LU Ching Yao,YANG Po Han,Vivian HOO,YAP Cheng Wen,Misato ARATAMA,Akane WATANABE,Yulfira BARKAH,Jauza Fadhila SUGIARTO,Nami MATSUYAMA,Chiharu SHIDA,TANG Chun Man,TSE Ying Suet,LEE Chun Hei Reginald,CHAU Hoi Wah,HOO Pang Ron,CHEAH Yee See,Akbar Bintang CAHYONO,Winny Oktavina KANDOW
21,2018,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3159/fuzhou-china-open-2018,Fuzhou China Open 2018,06 - 11 NOVEMBER,"PRIZE MONEY USD $700,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,Fuzhou,China,Kento MOMOTA,CHOU Tien Chen,CHEN Long,SHI Yu Qi,CHEN Yu Fei,Nozomi OKUHARA,HE Bing Jiao,Carolina MARIN,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,HE Ji Ting,TAN Qiang,Mohammad AHSAN,Hendra SETIAWAN,LIU Cheng,ZHANG Nan,LEE So Hee,SHIN Seung Chan,Mayu MATSUMOTO,Wakana NAGAHARA,CHAE Yu Jung,KIM So Yeong,Misaki MATSUTOMO,Ayaka TAKAHASHI,ZHENG Si Wei,HUANG Ya Qiong,WANG Yi Lyu,HUANG Dong Ping,Yuta WATANABE,Arisa HIGASHINO,HE Ji Ting,DU Yue
22,2018,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3337/yonex-sunrise-hong-kong-open-2018,YONEX-SUNRISE Hong Kong Open 2018,13 - 18 NOVEMBER,"PRIZE MONEY USD $400,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Kowloon,Hong Kong China,SON Wan Ho,Kenta NISHIMOTO,LEE Cheuk Yiu,Kento MOMOTA,Nozomi OKUHARA,Ratchanok INTANON,SUNG Jihyun,TAI Tzu Ying,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Takeshi KAMURA,Keigo SONODA,Mohammad AHSAN,Hendra SETIAWAN,Fajar ALFIAN,Muhammad Rian ARDIANTO,Yuki FUKUSHIMA,Sayaka HIROTA,LEE So Hee,SHIN Seung Chan,Greysia POLII,Apriyani RAHAYU,Shiho TANAKA,Koharu YONEMOTO,Yuta WATANABE,Arisa HIGASHINO,WANG Yi Lyu,HUANG Dong Ping,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,LEE Yang,HSU Ya Ching
23,2018,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3171/syed-modi-international-badminton-championships-2018,Syed Modi International Badminton Championships 2018,20 - 25 NOVEMBER,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Lucknow,India,Sameer VERMA,LU Guang Zu,Chico  Aura DWI WARDOYO,Sitthikom THAMMASIN,HAN Yue,Saina NEHWAL,Ruselli HARTAWAN,LI Xue Rui,Fajar ALFIAN,Muhammad Rian ARDIANTO,Satwiksairaj RANKIREDDY,Chirag SHETTY,Mathias BOE,Carsten MOGENSEN,Vladimir IVANOV,Ivan SOZONOV,CHOW Mei Kuan,LEE Meng Yean,Ashwini PONNAPPA,REDDY Sikki,Ekaterina MALKOVA,Alina DAVLETOVA,Della Destiara HARIS,Rizki Amelia PRADIPTA,OU Xuan Yi,FENG Xue Ying,Rinov RIVALDY,Pitha Haningtyas MENTARI,Satwiksairaj RANKIREDDY,Ashwini PONNAPPA,Alfian Eko PRASETYA,Marsheilla Gischa ISLAMI
24,2018,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3161/gwangju-korea-masters-2018,GWANGJU Korea Masters 2018,27 NOVEMBER - 02 DECEMBER,"PRIZE MONEY USD $250,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Gwangju,Korea,SON Wan Ho,LEE Zii Jia,LEE Cheuk Yiu,Sitthikom THAMMASIN,LI Xue Rui,HAN Yue,GOH Jin Wei,KIM Hyo Min,CHOI Sol Gyu,SEO Seung Jae,PO Li-Wei,WANG Chi-Lin,KIM Sa Rang,TAN Boon Heong,LU Ching Yao,YANG Po Han,CHANG Ye Na,JUNG Kyung Eun,LEE So Hee,SHIN Seung Chan,Yulfira BARKAH,Jauza Fadhila SUGIARTO,BAEK Ha Na,KIM Hyerin,KO Sung Hyun,EOM Hye Won,CHOI Sol Gyu,SHIN Seung Chan,Hee Chun MAK,CHAU Hoi Wah,Praveen JORDAN,Melati Daeva OKTAVIANTI
25,2019,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3350/princess-sirivannavari-thailand-masters-2019,PRINCESS SIRIVANNAVARI Thailand Masters 2019,08 - 13 JANUARY,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Bangkok,Thailand,LOH Kean Yew,LIN Dan,Brice LEVERDEZ,LU Guang Zu,Fitriani FITRIANI,Busanan ONGBAMRUNGPHAN,Pornpawee CHOCHUWONG,DENG Joy Xuan,GOH V Shem,TAN Wee Kiong,LU Ching Yao,YANG Po Han,GOH Sze Fei,Nur IZZUDDIN,Akira KOGA,Taichi SAITO,Puttita SUPAJIRAKUL,Sapsiree TAERATTANACHAI,LI Wen Mei,ZHENG Yu,Ekaterina MALKOVA,Alina DAVLETOVA,Selena PIEK,Cheryl SEINEN,CHAN Peng Soon,GOH Liu Ying,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,TANG Chun Man,NG Tsz Yau,Nipitphon PHUANGPHUAPET,Savitree AMITRAPAI
